:Data_list: Gp_xr_1m.txt
:Created: 2014 Nov 22 1456 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2014 11 22  1256   56983  46560     1.10e-09    8.41e-07
2014 11 22  1257   56983  46620     1.00e-09    8.43e-07
2014 11 22  1258   56983  46680     1.00e-09    8.41e-07
2014 11 22  1259   56983  46740     1.16e-09    8.39e-07
2014 11 22  1300   56983  46800     1.02e-09    8.47e-07
2014 11 22  1301   56983  46860     1.00e-09    8.53e-07
2014 11 22  1302   56983  46920     1.00e-09    8.56e-07
2014 11 22  1303   56983  46980     1.85e-09    8.67e-07
2014 11 22  1304   56983  47040     1.97e-09    8.80e-07
2014 11 22  1305   56983  47100     1.30e-09    8.80e-07
2014 11 22  1306   56983  47160     2.11e-09    8.80e-07
2014 11 22  1307   56983  47220     2.78e-09    8.80e-07
2014 11 22  1308   56983  47280     2.44e-09    8.85e-07
2014 11 22  1309   56983  47340     5.37e-09    9.10e-07
2014 11 22  1310   56983  47400     1.01e-08    9.79e-07
2014 11 22  1311   56983  47460     1.42e-08    1.05e-06
2014 11 22  1312   56983  47520     1.68e-08    1.13e-06
2014 11 22  1313   56983  47580     1.73e-08    1.15e-06
2014 11 22  1314   56983  47640     1.67e-08    1.15e-06
2014 11 22  1315   56983  47700     1.40e-08    1.15e-06
2014 11 22  1316   56983  47760     1.33e-08    1.14e-06
2014 11 22  1317   56983  47820     1.39e-08    1.14e-06
2014 11 22  1318   56983  47880     1.37e-08    1.15e-06
2014 11 22  1319   56983  47940     1.36e-08    1.15e-06
2014 11 22  1320   56983  48000     1.29e-08    1.16e-06
2014 11 22  1321   56983  48060     1.41e-08    1.17e-06
2014 11 22  1322   56983  48120     1.49e-08    1.19e-06
2014 11 22  1323   56983  48180     1.93e-08    1.25e-06
2014 11 22  1324   56983  48240     2.45e-08    1.33e-06
2014 11 22  1325   56983  48300     3.28e-08    1.46e-06
2014 11 22  1326   56983  48360     5.24e-08    1.62e-06
2014 11 22  1327   56983  48420     7.74e-08    1.85e-06
2014 11 22  1328   56983  48480     9.37e-08    2.02e-06
2014 11 22  1329   56983  48540     9.86e-08    2.08e-06
2014 11 22  1330   56983  48600     9.64e-08    2.10e-06
2014 11 22  1331   56983  48660     9.69e-08    2.11e-06
2014 11 22  1332   56983  48720     9.39e-08    2.10e-06
2014 11 22  1333   56983  48780     9.06e-08    2.07e-06
2014 11 22  1334   56983  48840     8.29e-08    2.02e-06
2014 11 22  1335   56983  48900     7.79e-08    1.97e-06
2014 11 22  1336   56983  48960     7.34e-08    1.93e-06
2014 11 22  1337   56983  49020     7.03e-08    1.90e-06
2014 11 22  1338   56983  49080     6.78e-08    1.86e-06
2014 11 22  1339   56983  49140     6.48e-08    1.82e-06
2014 11 22  1340   56983  49200     6.14e-08    1.78e-06
2014 11 22  1341   56983  49260     5.84e-08    1.76e-06
2014 11 22  1342   56983  49320     5.49e-08    1.74e-06
2014 11 22  1343   56983  49380     5.33e-08    1.73e-06
2014 11 22  1344   56983  49440     5.18e-08    1.72e-06
2014 11 22  1345   56983  49500     5.01e-08    1.72e-06
2014 11 22  1346   56983  49560     5.00e-08    1.70e-06
2014 11 22  1347   56983  49620     4.71e-08    1.68e-06
2014 11 22  1348   56983  49680     4.32e-08    1.66e-06
2014 11 22  1349   56983  49740     4.30e-08    1.64e-06
2014 11 22  1350   56983  49800     4.03e-08    1.61e-06
2014 11 22  1351   56983  49860     3.74e-08    1.59e-06
2014 11 22  1352   56983  49920     3.50e-08    1.57e-06
2014 11 22  1353   56983  49980     3.39e-08    1.55e-06
2014 11 22  1354   56983  50040     3.29e-08    1.53e-06
2014 11 22  1355   56983  50100     3.03e-08    1.52e-06
2014 11 22  1356   56983  50160     2.60e-08    1.51e-06
2014 11 22  1357   56983  50220     2.52e-08    1.49e-06
2014 11 22  1358   56983  50280     2.39e-08    1.47e-06
2014 11 22  1359   56983  50340     2.36e-08    1.46e-06
2014 11 22  1400   56983  50400     2.20e-08    1.45e-06
2014 11 22  1401   56983  50460     2.19e-08    1.45e-06
2014 11 22  1402   56983  50520     2.13e-08    1.45e-06
2014 11 22  1403   56983  50580     2.16e-08    1.46e-06
2014 11 22  1404   56983  50640     2.47e-08    1.49e-06
2014 11 22  1405   56983  50700     3.07e-08    1.53e-06
2014 11 22  1406   56983  50760     3.40e-08    1.57e-06
2014 11 22  1407   56983  50820     3.41e-08    1.57e-06
2014 11 22  1408   56983  50880     3.05e-08    1.56e-06
2014 11 22  1409   56983  50940     2.71e-08    1.54e-06
2014 11 22  1410   56983  51000     2.36e-08    1.51e-06
2014 11 22  1411   56983  51060     2.10e-08    1.47e-06
2014 11 22  1412   56983  51120     2.10e-08    1.45e-06
2014 11 22  1413   56983  51180     2.04e-08    1.43e-06
2014 11 22  1414   56983  51240     2.17e-08    1.42e-06
2014 11 22  1415   56983  51300     2.23e-08    1.42e-06
2014 11 22  1416   56983  51360     1.68e-08    1.41e-06
2014 11 22  1417   56983  51420     1.69e-08    1.40e-06
2014 11 22  1418   56983  51480     1.52e-08    1.39e-06
2014 11 22  1419   56983  51540     1.19e-08    1.38e-06
2014 11 22  1420   56983  51600     1.70e-08    1.38e-06
2014 11 22  1421   56983  51660     1.74e-08    1.40e-06
2014 11 22  1422   56983  51720     2.06e-08    1.44e-06
2014 11 22  1423   56983  51780     2.49e-08    1.49e-06
2014 11 22  1424   56983  51840     3.37e-08    1.59e-06
2014 11 22  1425   56983  51900     4.51e-08    1.73e-06
2014 11 22  1426   56983  51960     5.19e-08    1.81e-06
2014 11 22  1427   56983  52020     5.52e-08    1.86e-06
2014 11 22  1428   56983  52080     5.83e-08    1.90e-06
2014 11 22  1429   56983  52140     6.48e-08    1.96e-06
2014 11 22  1430   56983  52200     7.04e-08    2.04e-06
2014 11 22  1431   56983  52260     8.07e-08    2.16e-06
2014 11 22  1432   56983  52320     8.23e-08    2.23e-06
2014 11 22  1433   56983  52380     7.99e-08    2.27e-06
2014 11 22  1434   56983  52440     7.62e-08    2.27e-06
2014 11 22  1435   56983  52500     7.30e-08    2.27e-06
2014 11 22  1436   56983  52560     6.87e-08    2.27e-06
2014 11 22  1437   56983  52620     6.92e-08    2.29e-06
2014 11 22  1438   56983  52680     6.85e-08    2.30e-06
2014 11 22  1439   56983  52740     6.67e-08    2.30e-06
2014 11 22  1440   56983  52800     6.85e-08    2.31e-06
2014 11 22  1441   56983  52860     6.66e-08    2.31e-06
2014 11 22  1442   56983  52920     6.39e-08    2.31e-06
2014 11 22  1443   56983  52980     5.86e-08    2.28e-06
2014 11 22  1444   56983  53040     5.34e-08    2.25e-06
2014 11 22  1445   56983  53100     4.86e-08    2.22e-06
2014 11 22  1446   56983  53160     4.51e-08    2.17e-06
2014 11 22  1447   56983  53220     3.97e-08    2.13e-06
2014 11 22  1448   56983  53280     3.67e-08    2.07e-06
2014 11 22  1449   56983  53340     3.55e-08    2.04e-06
2014 11 22  1450   56983  53400     3.38e-08    2.01e-06
2014 11 22  1451   56983  53460     3.38e-08    1.99e-06
2014 11 22  1452   56983  53520     3.59e-08    1.98e-06
2014 11 22  1453   56983  53580     4.15e-08    2.00e-06
2014 11 22  1454   56983  53640     4.17e-08    2.00e-06
2014 11 22  1455   56983  53700     3.80e-08    1.99e-06
