:Data_list: ace_swepam_1m.txt
:Created: 2014 Nov 22 1455 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2014 11 22  1255   56983   46500    1        5.3      373.3     4.68e+04
2014 11 22  1256   56983   46560    0        4.1      378.7     5.33e+04
2014 11 22  1257   56983   46620    0        4.7      377.0     4.71e+04
2014 11 22  1258   56983   46680    0        4.8      383.6     3.79e+04
2014 11 22  1259   56983   46740    0        5.4      375.2     3.89e+04
2014 11 22  1300   56983   46800    0        6.1      364.2     5.03e+04
2014 11 22  1301   56983   46860    0        6.3      363.5     5.87e+04
2014 11 22  1302   56983   46920    1        5.8      363.6     5.68e+04
2014 11 22  1303   56983   46980    0        4.6      364.5     5.62e+04
2014 11 22  1304   56983   47040    0        4.8      361.6     6.98e+04
2014 11 22  1305   56983   47100    0        4.6      357.1     8.12e+04
2014 11 22  1306   56983   47160    0        4.7      354.3     8.62e+04
2014 11 22  1307   56983   47220    0        4.8      355.6     9.66e+04
2014 11 22  1308   56983   47280    0        3.7      360.8     1.35e+05
2014 11 22  1309   56983   47340    0        4.0      355.7     9.18e+04
2014 11 22  1310   56983   47400    0        4.2      355.2     9.33e+04
2014 11 22  1311   56983   47460    0        4.3      358.2     8.44e+04
2014 11 22  1312   56983   47520    0        4.2      359.2     8.85e+04
2014 11 22  1313   56983   47580    1        5.3      360.6     7.22e+04
2014 11 22  1314   56983   47640    0        6.5      360.7     7.33e+04
2014 11 22  1315   56983   47700    0        6.3      362.9     7.17e+04
2014 11 22  1316   56983   47760    0        5.3      373.7     5.22e+04
2014 11 22  1317   56983   47820    0        4.6      382.6     4.35e+04
2014 11 22  1318   56983   47880    0        4.7      378.7     4.82e+04
2014 11 22  1319   56983   47940    0        5.5      373.5     4.16e+04
2014 11 22  1320   56983   48000    0        5.6      374.8     4.05e+04
2014 11 22  1321   56983   48060    0        5.6      374.2     4.83e+04
2014 11 22  1322   56983   48120    0        4.2      378.7     5.61e+04
2014 11 22  1323   56983   48180    0        4.2      380.6     5.88e+04
2014 11 22  1324   56983   48240    0        4.7      379.7     6.05e+04
2014 11 22  1325   56983   48300    0        3.8      381.6     6.48e+04
2014 11 22  1326   56983   48360    0        4.3      381.1     5.73e+04
2014 11 22  1327   56983   48420    0        5.1      378.2     5.54e+04
2014 11 22  1328   56983   48480    0        5.3      377.5     5.52e+04
2014 11 22  1329   56983   48540    0        4.6      390.4     4.95e+04
2014 11 22  1330   56983   48600    0        4.0      388.5     4.87e+04
2014 11 22  1331   56983   48660    0        4.5      382.7     5.79e+04
2014 11 22  1332   56983   48720    0        4.4      383.4     6.60e+04
2014 11 22  1333   56983   48780    0        4.0      381.7     6.26e+04
2014 11 22  1334   56983   48840    0        4.5      371.1     5.73e+04
2014 11 22  1335   56983   48900    0        4.7      371.9     6.00e+04
2014 11 22  1336   56983   48960    0        4.9      381.6     6.62e+04
2014 11 22  1337   56983   49020    0        4.4      383.4     6.01e+04
2014 11 22  1338   56983   49080    0        4.5      383.6     5.86e+04
2014 11 22  1339   56983   49140    0        3.5      394.2     4.46e+04
2014 11 22  1340   56983   49200    0        4.3      391.6     5.03e+04
2014 11 22  1341   56983   49260    0        4.4      402.7     5.14e+04
2014 11 22  1342   56983   49320    0        2.3      399.6     5.96e+04
2014 11 22  1343   56983   49380    0        4.0      384.7     5.98e+04
2014 11 22  1344   56983   49440    0        4.6      384.6     6.07e+04
2014 11 22  1345   56983   49500    0        4.2      382.9     6.11e+04
2014 11 22  1346   56983   49560    0        3.9      380.0     6.67e+04
2014 11 22  1347   56983   49620    0        4.1      376.8     7.08e+04
2014 11 22  1348   56983   49680    0        4.1      375.2     7.15e+04
2014 11 22  1349   56983   49740    0        4.0      376.2     7.30e+04
2014 11 22  1350   56983   49800    0        4.6      375.9     7.48e+04
2014 11 22  1351   56983   49860    0        5.0      372.4     6.90e+04
2014 11 22  1352   56983   49920    0        3.3      373.0     5.55e+04
2014 11 22  1353   56983   49980    0        3.2      378.6     5.87e+04
2014 11 22  1354   56983   50040    1        4.5      363.2     6.96e+04
2014 11 22  1355   56983   50100    0        4.6      371.1     6.58e+04
2014 11 22  1356   56983   50160    0        4.5      375.0     6.44e+04
2014 11 22  1357   56983   50220    0        4.6      386.7     1.14e+05
2014 11 22  1358   56983   50280    0        4.7      364.5     7.82e+04
2014 11 22  1359   56983   50340    0        3.7      359.6     4.76e+04
