:Data_list: Gp_xr_1m.txt
:Created: 2014 Apr 18 1309 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2014 04 18  1109   56765  40140     8.25e-09    1.01e-06
2014 04 18  1110   56765  40200     6.99e-09    1.01e-06
2014 04 18  1111   56765  40260     7.71e-09    1.01e-06
2014 04 18  1112   56765  40320     7.40e-09    1.01e-06
2014 04 18  1113   56765  40380     8.36e-09    1.01e-06
2014 04 18  1114   56765  40440     6.14e-09    1.01e-06
2014 04 18  1115   56765  40500     7.48e-09    1.01e-06
2014 04 18  1116   56765  40560     6.83e-09    1.01e-06
2014 04 18  1117   56765  40620     6.10e-09    1.01e-06
2014 04 18  1118   56765  40680     7.44e-09    1.00e-06
2014 04 18  1119   56765  40740     7.10e-09    1.00e-06
2014 04 18  1120   56765  40800     6.06e-09    1.00e-06
2014 04 18  1121   56765  40860     6.94e-09    1.01e-06
2014 04 18  1122   56765  40920     7.17e-09    1.02e-06
2014 04 18  1123   56765  40980     9.70e-09    1.02e-06
2014 04 18  1124   56765  41040     9.52e-09    1.01e-06
2014 04 18  1125   56765  41100     7.60e-09    1.00e-06
2014 04 18  1126   56765  41160     7.71e-09    1.00e-06
2014 04 18  1127   56765  41220     8.03e-09    1.00e-06
2014 04 18  1128   56765  41280     8.67e-09    1.01e-06
2014 04 18  1129   56765  41340     8.79e-09    1.01e-06
2014 04 18  1130   56765  41400     9.96e-09    1.01e-06
